Marital status,Daytime/evening attendance,Previous qualification,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Unemployment rate,Inflation rate,GDP,Target
1,1,1,1,0,0,1,0,1,20,0,9.4,-0.8,-3.12,Enrolled
1,1,1,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,0,1,0,0,0,1,0,0,27,0,9.4,-0.8,-3.12,Dropout
1,1,1,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate
2,1,3,0,0,0,1,0,0,39,0,12.4,0.5,1.79,Dropout
1,1,15,1,0,0,1,0,0,27,0,12.4,0.5,1.79,Dropout
1,1,1,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Enrolled
1,1,1,0,0,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate
1,1,14,0,0,0,1,0,1,21,0,13.9,-0.3,0.79,Graduate
1,1,1,1,0,0,1,1,1,19,0,10.8,1.4,1.74,Enrolled
1,1,1,1,0,0,1,1,0,19,0,10.8,1.4,1.74,Enrolled
1,1,1,0,0,0,1,1,0,24,0,12.7,3.7,-1.7,Enrolled
4,1,12,1,0,0,1,1,0,29,0,13.9,-0.3,0.79,Dropout
1,1,1,1,0,0,1,1,1,19,0,10.8,1.4,1.74,Graduate
1,1,14,1,0,0,1,1,0,23,0,8.9,1.4,3.51,Graduate
1,1,1,0,0,1,1,1,0,19,0,16.2,0.3,-0.92,Dropout
1,1,1,0,0,0,1,1,0,26,0,12.7,3.7,-1.7,Enrolled
1,1,1,0,0,0,1,1,0,18,0,7.6,2.6,0.32,Enrolled
1,1,1,0,0,0,1,1,0,24,0,13.9,-0.3,0.79,Graduate
1,1,1,1,0,0,1,1,0,19,0,15.5,2.8,-4.06,Dropout
1,1,1,1,0,0,1,1,0,18,0,12.4,0.5,1.79,Dropout
1,1,1,1,0,0,1,1,0,18,0,10.8,1.4,1.74,Graduate
1,1,1,1,0,1,1,1,0,18,0,10.8,1.4,1.74,Dropout
1,1,1,1,0,0,1,1,1,21,0,9.4,-0.8,-3.12,Dropout
1,1,1,1,0,1,1,1,1,19,0,8.9,1.4,3.51,Graduate
1,1,1,0,0,0,1,1,1,22,0,16.2,0.3,-0.92,Graduate
2,0,1,0,0,0,1,1,0,33,0,10.8,1.4,1.74,Graduate
1,1,1,1,0,0,1,1,0,20,0,10.8,1.4,1.74,Dropout
1,0,2,1,0,0,1,1,0,35,0,10.8,1.4,1.74,Dropout
1,1,4,0,0,1,1,1,0,24,0,12.4,0.5,1.79,Dropout
1,1,1,0,0,0,1,1,0,18,0,12.7,3.7,-1.7,Enrolled
2,0,1,1,0,0,1,0,0,33,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,0,0,1,0,1,22,0,10.8,1.4,1.74,Graduate
1,1,1,0,0,0,1,0,1,25,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,0,0,1,1,0,20,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,1,0,23,0,11.1,0.6,2.02,Enrolled
1,1,1,1,0,1,1,1,0,18,0,15.5,2.8,-4.06,Enrolled
1,1,1,0,0,0,1,1,0,24,0,13.9,-0.3,0.79,Dropout
1,1,1,1,0,0,0,0,0,21,1,8.9,1.4,3.51,Graduate
1,1,1,0,0,0,1,0,0,26,1,8.9,1.4,3.51,Dropout
2,1,8,0,0,0,1,0,0,39,0,7.6,2.6,0.32,Dropout
2,0,1,0,0,0,1,0,0,44,0,12.7,3.7,-1.7,Graduate
1,1,1,1,0,0,1,1,0,19,1,13.9,-0.3,0.79,Enrolled
1,1,1,1,0,0,1,0,0,18,0,8.9,1.4,3.51,Graduate
1,1,1,1,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
1,1,1,1,0,0,1,0,0,19,0,12.7,3.7,-1.7,Enrolled
1,1,1,1,0,1,0,0,0,19,0,13.9,-0.3,0.79,Dropout
1,1,16,0,0,0,1,0,0,21,0,8.9,1.4,3.51,Dropout
1,1,1,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate
2,0,1,1,0,0,1,0,0,36,0,9.4,-0.8,-3.12,Dropout
4,1,9,0,0,0,1,0,0,43,0,15.5,2.8,-4.06,Graduate
1,1,1,1,0,0,1,0,0,19,0,11.1,0.6,2.02,Dropout
1,1,1,0,0,1,1,0,0,20,0,11.1,0.6,2.02,Graduate
1,1,1,1,0,0,1,0,0,19,0,16.2,0.3,-0.92,Dropout
1,1,1,1,0,0,1,0,0,20,0,15.5,2.8,-4.06,Dropout
1,1,1,1,0,0,1,0,0,20,0,12.4,0.5,1.79,Dropout
1,1,1,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Enrolled
1,1,1,1,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
1,1,1,1,0,0,1,0,1,18,0,8.9,1.4,3.51,Enrolled
1,1,1,1,0,0,1,0,0,19,0,10.8,1.4,1.74,Graduate
1,1,1,1,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
1,1,1,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Dropout
1,1,1,0,0,0,1,0,0,20,0,13.9,-0.3,0.79,Enrolled
1,1,1,1,0,0,1,0,1,20,0,7.6,2.6,0.32,Enrolled
1,1,1,0,0,0,1,0,0,20,0,12.4,0.5,1.79,Enrolled
1,1,1,0,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,1,1,0,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,1,1,0,0,1,0,0,21,0,9.4,-0.8,-3.12,Dropout
1,1,1,1,0,0,1,0,0,19,0,16.2,0.3,-0.92,Graduate
1,1,1,0,0,0,1,0,0,19,0,10.8,1.4,1.74,Dropout
1,1,1,0,0,0,1,0,1,19,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,0,0,1,0,0,19,0,15.5,2.8,-4.06,Graduate
1,1,1,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,Dropout
1,1,14,1,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
1,1,1,1,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
1,1,1,1,0,0,1,0,0,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,0,0,1,0,1,18,0,13.9,-0.3,0.79,Dropout
1,1,1,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,0,0,19,0,8.9,1.4,3.51,Graduate
1,1,1,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,Dropout
1,1,1,0,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
1,1,1,0,0,1,0,0,1,19,0,12.4,0.5,1.79,Dropout
1,1,1,1,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
1,1,1,0,0,1,1,0,1,18,0,8.9,1.4,3.51,Graduate
1,1,1,0,0,0,1,0,1,20,0,11.1,0.6,2.02,Enrolled
1,1,1,0,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
1,1,1,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,0,1,0,0,0,22,0,8.9,1.4,3.51,Enrolled
1,1,1,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,0,0,1,0,1,19,0,15.5,2.8,-4.06,Graduate
1,1,1,1,0,0,1,0,1,19,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Dropout
1,1,1,1,0,0,1,0,0,20,0,7.6,2.6,0.32,Dropout
1,1,1,0,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
1,1,1,0,0,0,1,0,1,20,0,11.1,0.6,2.02,Graduate
1,1,1,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,1,1,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,0,0,21,0,9.4,-0.8,-3.12,Dropout
1,1,1,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Dropout
1,1,1,0,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
1,1,1,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,1,1,1,0,0,1,0,0,20,0,9.4,-0.8,-3.12,Graduate
1,0,1,0,0,0,1,0,1,24,0,11.1,0.6,2.02,Graduate
1,1,1,0,0,0,1,0,0,19,0,10.8,1.4,1.74,Dropout
1,1,1,1,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
1,1,1,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate
1,1,1,1,0,0,1,0,0,21,0,10.8,1.4,1.74,Dropout
1,1,1,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,1,0,0,0,1,0,1,19,0,15.5,2.8,-4.06,Graduate
3,1,1,0,0,1,1,0,0,47,0,8.9,1.4,3.51,Enrolled
1,1,1,0,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
1,1,3,0,0,0,1,0,0,29,0,12.7,3.7,-1.7,Graduate
1,1,1,1,0,0,1,0,0,21,0,16.2,0.3,-0.92,Dropout
1,1,1,1,0,0,1,0,0,28,0,12.7,3.7,-1.7,Enrolled
1,1,1,0,0,0,1,0,0,20,0,15.5,2.8,-4.06,Graduate
1,1,1,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,0,1,0,0,0,1,0,0,26,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,0,1,0,0,0,20,0,11.1,0.6,2.02,Dropout
1,1,1,1,0,0,1,0,1,18,0,7.6,2.6,0.32,Enrolled
1,1,1,0,0,0,1,0,0,27,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,0,0,20,0,7.6,2.6,0.32,Dropout
1,1,1,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Dropout
1,1,3,0,0,0,1,0,0,33,0,16.2,0.3,-0.92,Dropout
1,1,1,1,0,0,1,0,0,35,0,12.4,0.5,1.79,Graduate
1,0,14,0,0,0,1,0,1,26,0,9.4,-0.8,-3.12,Enrolled
1,1,12,0,0,1,0,0,0,27,0,11.1,0.6,2.02,Dropout
1,1,1,1,0,0,0,0,0,19,0,15.5,2.8,-4.06,Dropout
1,1,1,0,0,0,1,0,0,20,0,11.1,0.6,2.02,Dropout
1,1,1,1,0,1,0,0,0,20,0,10.8,1.4,1.74,Dropout
1,1,1,0,0,1,0,0,0,21,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,0,0,1,0,1,18,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,0,0,24,0,8.9,1.4,3.51,Dropout
1,1,1,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate
1,1,1,0,0,0,1,0,1,21,0,13.9,-0.3,0.79,Graduate
1,0,1,0,0,0,1,0,0,23,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,0,0,1,0,0,24,0,7.6,2.6,0.32,Dropout
1,1,1,0,0,0,1,0,0,21,0,12.4,0.5,1.79,Dropout
1,1,1,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
1,0,15,1,0,0,1,0,0,27,0,8.9,1.4,3.51,Dropout
1,1,1,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,1,3,0,0,0,1,0,0,35,0,13.9,-0.3,0.79,Dropout
1,1,1,0,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,1,0,0,0,1,0,0,35,0,11.1,0.6,2.02,Enrolled
1,1,1,1,0,0,1,0,0,19,0,10.8,1.4,1.74,Graduate
1,1,1,1,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
1,1,14,0,0,1,1,0,0,21,0,13.9,-0.3,0.79,Graduate
1,1,1,0,0,0,1,0,1,18,0,16.2,0.3,-0.92,Graduate
1,1,1,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
1,1,1,1,0,0,1,0,1,18,0,16.2,0.3,-0.92,Graduate
1,1,1,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
1,1,12,0,0,0,1,0,1,36,0,16.2,0.3,-0.92,Dropout
1,1,1,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,1,1,0,0,0,1,0,1,18,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,0,1,20,0,13.9,-0.3,0.79,Graduate
1,0,1,0,0,0,1,0,1,26,0,16.2,0.3,-0.92,Dropout
1,1,1,0,0,0,1,0,0,21,0,7.6,2.6,0.32,Graduate
1,1,15,0,0,0,1,0,0,25,0,15.5,2.8,-4.06,Enrolled
1,1,1,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,0,1,1,0,0,1,0,0,24,0,9.4,-0.8,-3.12,Dropout
1,0,1,0,0,0,1,0,1,27,0,8.9,1.4,3.51,Dropout
1,1,1,0,0,0,1,0,0,21,0,7.6,2.6,0.32,Dropout
1,1,1,0,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Graduate
2,1,1,0,1,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,1,1,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Dropout
1,1,1,0,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate
1,1,1,1,0,0,1,0,1,19,0,16.2,0.3,-0.92,Graduate
2,0,17,0,0,0,1,0,0,33,0,11.1,0.6,2.02,Graduate
2,1,3,0,0,0,1,0,0,45,0,12.4,0.5,1.79,Graduate
1,1,1,0,0,0,1,0,1,20,0,11.1,0.6,2.02,Graduate
1,1,1,1,0,0,1,0,0,28,0,7.6,2.6,0.32,Dropout
1,1,1,1,0,0,1,0,1,19,0,12.7,3.7,-1.7,Graduate
1,1,1,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
1,1,3,0,0,0,1,0,0,38,0,15.5,2.8,-4.06,Dropout
1,1,1,0,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Graduate
1,1,1,0,0,0,1,0,1,21,0,15.5,2.8,-4.06,Graduate
1,1,1,0,0,0,1,0,0,21,0,16.2,0.3,-0.92,Dropout
1,1,1,0,0,0,1,0,1,22,0,10.8,1.4,1.74,Graduate
1,1,1,0,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Graduate
1,1,1,0,1,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
1,1,1,1,0,0,0,0,0,25,0,9.4,-0.8,-3.12,Dropout
1,1,12,0,0,1,0,0,0,24,0,16.2,0.3,-0.92,Dropout
1,1,1,1,0,0,1,0,0,19,0,12.4,0.5,1.79,Enrolled
1,1,1,1,0,0,1,0,0,24,0,12.4,0.5,1.79,Enrolled
1,1,1,1,0,0,1,0,1,20,0,12.4,0.5,1.79,Graduate
1,1,1,0,0,0,0,0,0,25,0,10.8,1.4,1.74,Dropout
1,1,1,0,0,0,1,0,1,20,0,8.9,1.4,3.51,Graduate
1,1,3,0,0,0,1,0,0,23,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,1,14,0,0,1,0,0,0,29,0,13.9,-0.3,0.79,Dropout
1,1,1,1,0,0,1,0,0,21,0,11.1,0.6,2.02,Graduate
1,1,1,1,0,0,1,0,1,18,0,11.1,0.6,2.02,Graduate
1,1,1,1,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,0,0,1,0,1,18,0,8.9,1.4,3.51,Dropout
1,1,1,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,1,1,0,0,0,1,0,0,18,0,8.9,1.4,3.51,Graduate
2,1,12,1,0,1,0,0,1,37,0,8.9,1.4,3.51,Dropout
1,0,15,0,0,0,1,0,0,29,0,16.2,0.3,-0.92,Graduate
1,1,1,0,0,0,1,0,0,18,0,7.6,2.6,0.32,Enrolled
1,1,1,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
1,1,1,1,0,1,0,0,0,22,0,16.2,0.3,-0.92,Dropout
1,1,1,0,0,0,1,0,1,20,0,15.5,2.8,-4.06,Graduate
1,0,1,0,0,0,1,0,0,34,0,12.7,3.7,-1.7,Dropout
1,1,1,0,0,1,0,0,0,30,0,7.6,2.6,0.32,Dropout
1,1,1,0,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
1,1,1,0,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
1,1,1,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
1,1,1,1,0,0,1,0,1,19,0,12.7,3.7,-1.7,Graduate
1,1,1,1,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,1,1,0,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
1,1,14,0,0,0,1,0,1,21,0,13.9,-0.3,0.79,Graduate
1,1,1,1,0,0,0,0,0,20,0,7.6,2.6,0.32,Dropout
1,1,1,1,0,0,1,0,0,20,0,13.9,-0.3,0.79,Graduate
1,1,1,0,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
1,1,1,0,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate
1,1,1,1,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
1,1,1,0,0,0,1,0,0,20,0,12.7,3.7,-1.7,Dropout
2,1,3,0,0,1,0,0,0,29,0,7.6,2.6,0.32,Dropout
1,1,1,0,0,0,1,0,1,18,0,12.4,0.5,1.79,Enrolled
1,1,1,1,0,0,1,0,1,20,0,15.5,2.8,-4.06,Graduate
1,1,1,1,0,0,1,0,1,22,0,16.2,0.3,-0.92,Graduate
4,0,1,1,0,0,1,0,1,47,0,16.2,0.3,-0.92,Graduate
2,0,1,0,0,0,1,0,0,31,0,8.9,1.4,3.51,Graduate
1,1,1,0,0,0,1,0,1,21,0,16.2,0.3,-0.92,Graduate
1,0,1,0,0,0,1,0,0,21,0,7.6,2.6,0.32,Graduate
2,1,9,0,0,0,1,0,0,24,0,7.6,2.6,0.32,Graduate
1,1,1,0,0,0,1,0,0,18,0,15.5,2.8,-4.06,Enrolled
1,0,11,0,0,0,1,0,0,32,0,7.6,2.6,0.32,Graduate
1,0,1,1,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,1,1,1,0,0,1,0,0,24,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,0,0,1,0,0,19,0,15.5,2.8,-4.06,Graduate
1,1,14,0,0,1,1,0,1,19,0,13.9,-0.3,0.79,Graduate
1,1,14,0,0,0,1,0,0,24,0,12.4,0.5,1.79,Enrolled
1,1,1,1,0,0,1,0,1,18,0,8.9,1.4,3.51,Graduate
1,1,1,1,0,0,1,0,1,19,0,8.9,1.4,3.51,Dropout
2,1,1,0,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,1,1,1,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
1,1,1,1,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
1,1,1,1,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
1,1,1,0,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,1,1,1,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,1,1,0,0,1,0,1,21,0,10.8,1.4,1.74,Graduate
1,1,1,0,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
1,1,1,0,0,1,0,0,0,18,0,9.4,-0.8,-3.12,Dropout
1,1,1,1,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Dropout
1,1,1,1,0,0,1,0,0,19,0,10.8,1.4,1.74,Enrolled
1,1,1,1,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,3,1,0,0,1,0,0,34,0,12.7,3.7,-1.7,Dropout
1,1,1,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,14,1,0,1,0,0,0,19,0,12.4,0.5,1.79,Dropout
1,1,1,0,0,1,1,0,0,26,0,11.1,0.6,2.02,Graduate
1,1,1,1,0,0,1,0,0,21,0,7.6,2.6,0.32,Dropout
1,1,1,0,0,0,1,0,1,18,0,11.1,0.6,2.02,Graduate
1,1,1,1,0,0,1,0,1,20,0,9.4,-0.8,-3.12,Graduate
1,1,1,0,0,0,1,0,0,25,0,11.1,0.6,2.02,Dropout
1,1,1,0,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
1,1,1,1,0,0,1,0,1,18,0,16.2,0.3,-0.92,Graduate
1,1,1,0,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
1,1,1,0,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
1,1,1,0,0,0,1,0,0,20,0,15.5,2.8,-4.06,Enrolled
1,1,15,0,0,1,0,0,0,26,0,8.9,1.4,3.51,Dropout
1,1,1,1,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
1,1,1,0,0,0,1,0,0,19,0,16.2,0.3,-0.92,Graduate
1,1,1,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Enrolled
1,1,1,1,0,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate
1,1,6,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
1,1,1,0,0,1,1,0,0,18,0,13.9,-0.3,0.79,Graduate
1,1,1,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,0,0,1,0,0,18,0,11.1,0.6,2.02,Enrolled
1,1,14,0,0,1,1,0,0,26,0,16.2,0.3,-0.92,Dropout
1,1,1,1,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
1,0,1,0,0,0,1,0,0,19,0,12.7,3.7,-1.7,Graduate
1,1,1,1,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Graduate
1,1,14,0,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
1,1,15,0,0,1,1,0,0,40,0,12.4,0.5,1.79,Graduate
1,1,1,1,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Graduate
1,1,1,0,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
1,1,1,0,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
1,1,1,1,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,Dropout
2,0,1,1,0,0,1,0,0,33,0,12.4,0.5,1.79,Graduate
1,1,3,0,0,0,1,0,0,35,0,16.2,0.3,-0.92,Graduate
1,1,1,1,0,0,1,0,0,26,0,9.4,-0.8,-3.12,Enrolled
1,1,1,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
1,1,1,0,0,0,1,0,0,36,0,15.5,2.8,-4.06,Enrolled
